Project Name,Suspect USDT support?,Skip,Added,Web3 but no stablecoin,General Stablecoin Adoption,To be Added,Processed?,In Admin,TG/TON appstore (no main URL),Final Status,Website,X Link,X Handle,Telegram,Category,Release Date,Product Status,The Grid Status,Profile Name,Root ID,Matched URL,Matched via,Ecosystem/Chain,Source,Notes,Evidence & Source URLs
Hydration,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://app.hydration.net/trade/swap,,,,DeFi,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,A next-gen DeFi protocol w/ cross-chain swaps; borrowing; stablecoin; staking...,
Bifrost,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,https://app.bifrost.io/,,,,DeFi,,,✅ Found,Blocksmith Labs,2039,https://admin.thegrid.id/profiles/?rootId=2039,Name: Product,polkadot,https://polkadotecosystem.com/#explore,The Liquid Staking Standard for Any Chain.,
StellaSwap,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,https://app.stellaswap.com/,,,,DeFi,,,✅ Found,StellaSwap,id1757298941-DrJCMeYETr-TyHQi_AojYw,https://admin.thegrid.id/profiles/?rootId=id1757298941-DrJCMeYETr-TyHQi_AojYw,Name: Profile,polkadot,https://polkadotecosystem.com/#explore,Polkadot's EVM Super-DEX.,
Interlay,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://app.interlay.io/,,,,DeFi,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Powering the cross-chain capabilities of decentralized applications.,
Acala Network,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://app.arthswap.org/,,,,DeFi,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,An appchain powering Web3 finance,
Algem,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://app.algem.io/liquid-staking,,,,DeFi,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Liquid Stake on Astar Network,
ArthSwap,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://app.arthswap.org/,,,,DeFi,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,One-stop defi on Astar Network.,
AstridDAO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://astriddao.xyz/,,,,DeFi,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Multi-collateral stablecoin on Astar Network and Polkadot.,
Kylix Finance,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://www.kylix.finance/,,,,DeFi,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Borrow; lend and earn across any chain; without using bridges.,
Moonwell,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,https://moonwell.fi/,,,,DeFi,,,✅ Found,Moonwell,id1753984906-IzLBCew-SmKu8xnTWrEr0g,https://admin.thegrid.id/profiles/?rootId=id1753984906-IzLBCew-SmKu8xnTWrEr0g,URL: urlMain,polkadot,https://polkadotecosystem.com/#explore,Bringing the world onchain with simple; yet powerful financial tools.,
Pendulum,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://www.pendulumchain.org/,,,,DeFi,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,The stablecoin infrastructure solution for on-chain Forex.,
Polkadex,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://orderbook.polkadex.ee/trading,,,,DeFi,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,The non-custodial; CEX-like orderbook DEX.,
Mythos Chain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://mythos.foundation/,,,,Gaming,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,A Web3 gaming ecosystem governed by the Mythos DAO.,
Ajuna Network,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://ajuna.io/,,,,Gaming,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,A decentralized gaming platform.,
Exiled Racers,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://ghost.exiledracers.com/,,,,Gaming,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,A pioneering 3D NFT project within the Polkadot ecosystem.,
Cosmize,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://www.cosmize.io/,,,,Gaming,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,A metaverse platform on the Astar blockchain.,
GameDAO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://gamedao.co/,,,,Gaming,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Transforming the game publishing landscape,
