Project Name,Suspect USDT support?,Skip,Added,Web3 but no stablecoin,General Stablecoin Adoption,To be Added,Processed?,In Admin,TG/TON appstore (no main URL),Final Status,Website,X Link,X Handle,Telegram,Category,Release Date,Product Status,The Grid Status,Profile Name,Root ID,Matched URL,Matched via,Ecosystem/Chain,Source,Notes,Evidence & Source URLs
Airdrops One,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://airdrops.one/,,https://twitter.com/Airdrops_one,,Creators & Education; Tools & Infrastructure,,,❌ Not found,,,,,kava,https://interchaininfo.zone/ecosystem/kava/indexes,Cosmos nearly defined the concept of Airdrops; with $ATOM stakers receiving Web3’s first real airdrops. However; it’s since become so popular that it’s now a chaotic mess that can be nearly impossible to keep up with. Thankfully airdrops one has you covered as the longest standing and most trustworthy Airdrop information platform in all of Cosmos; both through twitter; ICI & their own website.,
Blocks United,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,https://twitter.com/blocks_united,,Validators; Creators & Education; Content Creators,,,❌ Not found,,,,,kava,https://interchaininfo.zone/ecosystem/kava/indexes,Blocks United is a noncustodial staking provider. That means that you maintain control your tokens. We validate on four of the top networks in the industry. Each validator runs on production-grade bare metal servers inside a well-secured data center. Staking your tokens is a way to generate income and potentially build wealth through the power of compounding. Make your crypto work for you!,
Cosmos Joe,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://linktr.ee/cosmosdefi,,https://twitter.com/CosmosDefi,,Creators & Education; Content Creators; People,,,❌ Not found,,,,,kava,https://interchaininfo.zone/ecosystem/kava/indexes,Not his first crypto rodeo; Cosmos Joe; also known as @CosmosDefi brings an educators background & 7 years experience to the highly technical; and often ambiguous; crypto space. He is a seasoned content creator who advocates for “common man” by highlighting the customer’s perspective with each well-prepared tutorial; interview; or live stream. Give him a follow to keep on top of what really matters: the end user.,
Cosmoshield,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://cosmoshield.org/,,https://twitter.com/cosmoshield_org,,Real World Services; Misc.; Core Tech Stack,,,❌ Not found,,,,,kava,https://interchaininfo.zone/ecosystem/kava/indexes,Cosmoshield is a cryptocurrency security platform that works towards preventing fraud and reducing the risk of self-custody for users in the Cosmos ecosystem. Launched in 2020; Cosmoshield aims to protect the crypto cosmos by providing a recovery service to users who have been scammed or hacked. The platform boasts impressive recovery statistics; having recovered over $2.2M for more than 500 users.,
CosmosSDK,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://tendermint.com/sdk/,,https://twitter.com/cosmossdk,,Core Tech Stack,,,❌ Not found,,,,,kava,https://interchaininfo.zone/ecosystem/kava/indexes,The Cosmos SDK is an open-source framework for building application-specific blockchains; offering unparalleled flexibility; security; and interoperability. It supports both public PoS and private PoA networks; utilizing CometBFT for consensus. Designed with modularity in mind; it allows developers to easily integrate pre-built modules or create custom ones; facilitating rapid development of tailored blockchain solutions. Key features include the object-capability security model and seamless inter-blockchain communication via the IBC protocol; making it the most advanced framework for decentralized applications aiming for cross-chain connectivity.,
Crypto Tank,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,http://www.manekicosmos.com/,,https://twitter.com/IBC_GANG,,Creators & Education,,,❌ Not found,,,,,kava,https://interchaininfo.zone/ecosystem/kava/indexes,Through conversations with industry insiders and everyday investors; I.B.C. helps listeners understand the economic world around them.,
Interchain Info,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://interchaininfo.zone,,https://twitter.com/InterchainInfo,,Misc.; Creators & Education; Content Creators; Education Tools; Tools & Infrastructure,,,❌ Not found,,,,,kava,https://interchaininfo.zone/ecosystem/kava/indexes,Interchain Info (ICI) effortlessly guides users of all backgrounds and skill levels through the Web3 rabbit hole. One core feature of ICI is The Index; a comprehensive; builder; community; and user-driven Web3 wiki. The Resource Hub—an extensive aggregator of news; guides; entertainment; and more acts as the other. Both aspects are open to submissions from all & your contribution is encouraged! Premium features such as featured content and ads are available to verified pages.,
InterChain Media,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,https://x.com/MediaInterChain,,Creators & Education; Content Creators; Organizations,,,❌ Not found,,,,,kava,https://interchaininfo.zone/ecosystem/kava/indexes,InterChain Media,
Keplr Wallet,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,,,https://twitter.com/keplrwallet,,Wallets,,,✅ Found,Keplr,id1738748312-tvZmyE2MTliDR9AE5NyW_w,https://admin.thegrid.id/profiles/?rootId=id1738748312-tvZmyE2MTliDR9AE5NyW_w,Social Handle: Socials Lens - Twitter / X,kava,https://interchaininfo.zone/ecosystem/kava/indexes,Keplr Wallet is a secure; open-source interchain wallet that provides a seamless experience for managing digital assets across multiple blockchain networks. It emphasizes user control and security while fostering a community-driven environment for governance and development.,
Kleomedes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,Validators; DAOs & Multisigs; Creators & Education; Content Creators,,,❌ Not found,,,,,kava,https://interchaininfo.zone/ecosystem/kava/indexes,DECENTRALIZED ENTERPRISE,
